Model,Accuracy,Precision,Recall,F1 Score
Linear SVM,0.9864432791917125,0.9831657703998129,0.9919792403868837,0.9875528417097229
Passive Aggressive,0.9845248753037473,0.9842427093132643,0.9872611464968153,0.9857496172417854
Logistic Regression,0.9803043867502238,0.9737879842263976,0.9903279075253597,0.9819883040935673
Random Forest,0.9772349405294795,0.9692627686618904,0.9893842887473461,0.9792201727760915
Naive Bayes,0.9360532037344929,0.9410238263741448,0.9410238263741448,0.9410238263741448
