Model,Accuracy,F1 Score,AUC
Linear SVM,0.9864432791917125,0.9875528417097229,0.9989202418089014
Passive Aggressive,0.9845248753037473,0.9857496172417854,0.998401515061658
Logistic Regression,0.9803043867502238,0.9819883040935673,0.9979565909004047
Random Forest,0.9772349405294795,0.9792201727760915,0.9975753873647337
Naive Bayes,0.9360532037344929,0.9410238263741448,0.9832728415708879
